date,state,temp_high_f,temp_low_f,precipitation_in,snow_in,condition
2023-01-01,HI,69.8,56.4,0.54,0.0,partly_cloudy
2023-01-01,NY,73.0,39.9,0.04,0.0,sunny
2023-01-01,SC,57.7,52.8,0.28,0.0,sunny
2023-01-01,MP,79.0,59.6,0.7,0.0,rainy
2023-01-01,AR,73.2,76.2,0.19,0.0,rainy
2023-01-01,AZ,66.4,55.8,0.06,0.0,sunny
2023-01-01,TN,93.4,48.1,0.0,0.42,snowy
2023-01-01,WA,67.9,48.3,0.0,0.0,sunny
2023-01-01,CT,86.8,8.6,0.0,0.0,partly_cloudy
2023-01-01,CA,28.5,34.5,0.0,0.21,sunny
2023-01-02,HI,67.8,29.6,0.17,0.11,cloudy
2023-01-02,NY,42.8,35.7,0.18,0.0,sunny
2023-01-02,SC,66.8,24.2,0.0,0.54,partly_cloudy
2023-01-02,MP,61.8,40.5,0.41,0.0,rainy
2023-01-02,AR,103.6,47.0,0.05,0.5,sunny
2023-01-02,AZ,56.5,32.5,0.3,0.0,snowy
2023-01-02,TN,57.8,51.3,0.06,0.75,cloudy
2023-01-02,WA,50.7,57.8,0.12,0.66,rainy
2023-01-02,CT,73.1,58.1,0.0,0.0,partly_cloudy
2023-01-02,CA,75.7,49.5,0.0,0.0,sunny
2023-01-03,HI,58.0,88.2,0.17,0.0,partly_cloudy
2023-01-03,NY,108.2,62.9,0.35,0.0,partly_cloudy
2023-01-03,SC,69.2,51.0,0.22,0.0,sunny
2023-01-03,MP,31.4,80.4,0.0,0.59,snowy
2023-01-03,AR,59.1,60.3,0.47,0.15,partly_cloudy
2023-01-03,AZ,95.5,45.9,0.31,0.0,rainy
2023-01-03,TN,91.9,72.1,0.0,0.07,partly_cloudy
2023-01-03,WA,87.4,53.7,0.14,0.0,partly_cloudy
2023-01-03,CT,40.5,42.9,0.0,0.0,snowy
2023-01-03,CA,89.2,43.9,0.02,0.0,cloudy
2023-01-04,HI,54.7,70.2,0.32,0.66,partly_cloudy
2023-01-04,NY,92.1,54.3,0.0,0.21,snowy
2023-01-04,SC,78.2,61.5,0.0,0.64,snowy
2023-01-04,MP,63.6,20.8,0.22,0.45,cloudy
2023-01-04,AR,46.9,13.9,0.38,0.23,cloudy
2023-01-04,AZ,64.1,31.7,0.1,0.75,sunny
2023-01-04,TN,44.0,73.2,0.29,0.0,sunny
2023-01-04,WA,59.1,43.3,0.29,0.0,cloudy
2023-01-04,CT,56.7,46.7,0.01,0.0,cloudy
2023-01-04,CA,69.5,80.2,0.44,0.0,snowy
2023-01-05,HI,79.9,33.1,0.0,0.0,sunny
2023-01-05,NY,79.3,15.5,0.0,0.0,rainy
2023-01-05,SC,44.3,41.9,0.32,0.0,cloudy
2023-01-05,MP,99.5,46.6,0.52,0.02,snowy
2023-01-05,AR,65.4,16.7,0.48,0.0,cloudy
2023-01-05,AZ,52.5,35.3,0.01,0.44,rainy
2023-01-05,TN,74.0,4.6,0.0,0.1,snowy
2023-01-05,WA,73.5,63.5,0.1,0.0,rainy
2023-01-05,CT,63.5,40.4,0.27,0.29,rainy
2023-01-05,CA,59.6,68.4,0.02,0.01,sunny
2023-01-06,HI,65.4,23.1,0.29,0.0,partly_cloudy
2023-01-06,NY,63.4,67.9,0.0,0.43,rainy
2023-01-06,SC,62.8,50.8,0.13,0.46,cloudy
2023-01-06,MP,77.3,45.3,0.03,0.41,cloudy
2023-01-06,AR,86.7,66.1,0.0,0.6,sunny
2023-01-06,AZ,71.4,33.7,0.08,0.24,snowy
2023-01-06,TN,67.9,77.9,0.24,0.0,rainy
2023-01-06,WA,61.8,77.8,0.0,0.04,partly_cloudy
2023-01-06,CT,77.9,34.8,0.08,0.23,rainy
2023-01-06,CA,62.0,22.4,0.0,0.0,snowy
2023-01-07,HI,80.4,58.4,0.0,0.0,sunny
2023-01-07,NY,112.0,7.3,0.32,0.0,snowy
2023-01-07,SC,88.9,44.7,0.07,0.14,cloudy
2023-01-07,MP,71.9,6.5,0.56,0.6,snowy
2023-01-07,AR,30.9,67.5,0.06,0.0,rainy
2023-01-07,AZ,86.9,41.9,0.49,0.0,snowy
2023-01-07,TN,46.6,29.5,0.0,0.0,partly_cloudy
2023-01-07,WA,107.7,60.0,0.0,0.0,snowy
2023-01-07,CT,59.8,44.9,0.19,0.24,cloudy
2023-01-07,CA,66.0,39.7,0.0,0.0,rainy
2023-01-08,HI,76.8,74.7,0.24,0.45,partly_cloudy
2023-01-08,NY,63.6,29.7,0.26,0.0,cloudy
2023-01-08,SC,73.8,66.3,0.08,0.92,snowy
2023-01-08,MP,47.8,67.6,0.17,0.12,cloudy
2023-01-08,AR,119.0,34.8,0.29,0.0,cloudy
2023-01-08,AZ,65.3,19.2,0.0,0.0,snowy
2023-01-08,TN,79.9,20.2,0.4,0.1,sunny
2023-01-08,WA,48.7,7.6,0.34,0.18,cloudy
2023-01-08,CT,95.2,37.2,0.0,0.0,rainy
2023-01-08,CA,71.8,51.9,0.0,0.0,sunny
2023-01-09,HI,45.1,44.4,0.36,0.11,sunny
2023-01-09,NY,119.8,41.7,0.49,0.43,cloudy
2023-01-09,SC,68.1,50.3,0.19,0.0,partly_cloudy
2023-01-09,MP,76.3,0.5,0.0,0.0,cloudy
2023-01-09,AR,47.8,45.6,0.0,0.0,snowy
2023-01-09,AZ,56.3,41.0,0.0,0.0,rainy
2023-01-09,TN,74.5,41.9,0.46,0.63,rainy
2023-01-09,WA,116.4,67.0,0.28,0.52,cloudy
2023-01-09,CT,76.2,16.5,0.36,0.0,cloudy
2023-01-09,CA,97.0,36.3,0.16,0.49,cloudy
2023-01-10,HI,65.8,60.2,0.0,0.41,partly_cloudy
2023-01-10,NY,58.1,41.7,0.0,0.9,snowy
2023-01-10,SC,68.2,19.7,0.45,0.16,cloudy
2023-01-10,MP,64.0,11.4,0.99,0.0,snowy
2023-01-10,AR,78.4,51.1,0.34,0.32,cloudy
2023-01-10,AZ,70.9,55.9,0.0,0.44,snowy
2023-01-10,TN,85.4,41.4,0.09,0.0,partly_cloudy
2023-01-10,WA,45.0,49.8,0.04,0.25,cloudy
2023-01-10,CT,86.3,52.4,0.23,0.64,rainy
2023-01-10,CA,75.6,69.9,0.0,0.0,rainy
2023-01-11,HI,97.4,9.5,0.2,0.0,cloudy
2023-01-11,NY,59.2,31.4,0.0,0.0,partly_cloudy
2023-01-11,SC,83.3,79.5,0.21,0.08,partly_cloudy
2023-01-11,MP,33.2,46.3,0.53,0.09,snowy
2023-01-11,AR,72.3,53.5,0.0,0.07,sunny
2023-01-11,AZ,52.5,50.9,0.44,0.0,partly_cloudy
2023-01-11,TN,106.3,61.2,0.21,0.0,partly_cloudy
2023-01-11,WA,92.3,24.5,0.09,0.0,partly_cloudy
2023-01-11,CT,50.0,92.1,0.72,0.0,sunny
2023-01-11,CA,89.2,65.9,0.0,0.0,cloudy
2023-01-12,HI,74.0,73.6,0.64,0.49,cloudy
2023-01-12,NY,77.0,32.5,0.37,0.57,rainy
2023-01-12,SC,56.9,67.8,0.43,0.34,partly_cloudy
2023-01-12,MP,78.2,59.9,0.0,0.4,cloudy
2023-01-12,AR,92.9,31.2,0.18,0.5,partly_cloudy
2023-01-12,AZ,71.4,66.5,0.28,0.0,partly_cloudy
2023-01-12,TN,94.2,64.2,0.0,0.0,sunny
2023-01-12,WA,108.1,60.5,0.01,0.64,partly_cloudy
2023-01-12,CT,77.4,66.7,0.0,1.49,snowy
2023-01-12,CA,55.0,47.3,0.14,0.09,cloudy
2023-01-13,HI,103.1,70.9,0.23,0.0,sunny
2023-01-13,NY,90.4,67.6,0.0,0.0,sunny
2023-01-13,SC,61.1,73.7,0.19,0.0,snowy
2023-01-13,MP,91.7,41.1,0.05,0.0,rainy
2023-01-13,AR,104.2,45.7,0.25,0.52,snowy
2023-01-13,AZ,84.8,50.3,0.48,0.04,cloudy
2023-01-13,TN,82.0,19.9,0.0,1.79,snowy
2023-01-13,WA,71.4,54.7,0.2,0.0,partly_cloudy
2023-01-13,CT,67.9,71.5,0.35,0.03,partly_cloudy
2023-01-13,CA,85.8,38.5,0.44,0.38,partly_cloudy
2023-01-14,HI,92.1,63.4,0.43,0.06,partly_cloudy
2023-01-14,NY,83.4,78.9,0.0,0.0,cloudy
2023-01-14,SC,111.9,55.6,0.0,0.0,partly_cloudy
2023-01-14,MP,77.2,27.1,0.09,0.19,cloudy
2023-01-14,AR,70.9,71.7,0.06,0.0,sunny
2023-01-14,AZ,86.7,72.8,0.59,0.0,snowy
2023-01-14,TN,76.9,42.2,0.0,0.0,partly_cloudy
2023-01-14,WA,74.4,37.0,0.28,0.0,sunny
2023-01-14,CT,68.6,54.1,0.0,0.0,cloudy
2023-01-14,CA,73.4,63.6,0.0,0.53,sunny
2023-01-15,HI,56.9,42.6,0.0,0.0,cloudy
2023-01-15,NY,57.4,62.5,0.35,0.11,sunny
2023-01-15,SC,64.1,68.6,0.14,0.0,snowy
2023-01-15,MP,76.9,33.3,0.01,0.28,cloudy
2023-01-15,AR,73.7,36.6,0.0,0.08,sunny
2023-01-15,AZ,49.3,36.2,0.0,0.0,partly_cloudy
2023-01-15,TN,43.7,70.1,0.45,0.23,rainy
2023-01-15,WA,80.2,89.8,0.0,0.0,cloudy
2023-01-15,CT,78.8,65.1,0.0,0.0,cloudy
2023-01-15,CA,85.2,63.4,0.47,0.0,partly_cloudy
2023-01-16,HI,73.1,53.6,0.0,0.0,cloudy
2023-01-16,NY,99.9,26.9,0.15,0.39,partly_cloudy
2023-01-16,SC,84.2,46.7,0.04,0.0,rainy
2023-01-16,MP,57.4,53.0,0.0,0.0,cloudy
2023-01-16,AR,68.4,37.6,0.0,0.0,sunny
2023-01-16,AZ,69.0,28.2,0.07,0.0,sunny
2023-01-16,TN,109.8,73.8,0.41,0.0,rainy
2023-01-16,WA,48.4,29.1,0.57,0.0,snowy
2023-01-16,CT,97.2,40.2,0.18,0.23,snowy
2023-01-16,CA,94.3,58.5,0.0,0.0,cloudy
2023-01-17,HI,20.9,36.9,0.0,0.0,rainy
2023-01-17,NY,72.8,32.6,0.19,0.13,rainy
2023-01-17,SC,69.7,56.5,0.21,0.38,cloudy
2023-01-17,MP,36.0,100.1,0.22,0.0,partly_cloudy
2023-01-17,AR,54.1,58.7,0.0,0.18,snowy
2023-01-17,AZ,72.9,59.1,0.0,0.36,rainy
2023-01-17,TN,80.6,40.8,0.0,0.0,snowy
2023-01-17,WA,84.7,45.7,0.29,0.0,partly_cloudy
2023-01-17,CT,65.5,47.4,0.28,0.0,rainy
2023-01-17,CA,63.9,56.0,0.0,0.0,snowy
2023-01-18,HI,79.4,33.5,0.34,0.0,partly_cloudy
2023-01-18,NY,125.6,41.2,0.48,0.03,partly_cloudy
2023-01-18,SC,53.8,50.8,0.31,0.0,rainy
2023-01-18,MP,83.8,28.5,0.0,0.0,sunny
